ghe.qn,ghe.ghe_Tin,ghe.q_time[n],ghe.ghe_load[n],ghe.q_lntts[n],ghe.g_data[n],ghe.ghe_Tout[n],ghe.ghe_Tf[n],ghe.c1
-7.37897,6.94788e-310,914400,-7.37897,-7.1026,3.12148,6.78302,6.3438,-22.9768
-7.37896,6.94788e-310,918000,-7.37896,-7.09867,3.12341,6.78187,6.34264,-22.9913
-7.37894,6.94788e-310,921600,-7.37894,-7.09476,3.12534,6.78072,6.3415,-23.0058
-7.37893,6.94788e-310,925200,-7.37893,-7.09086,3.12726,6.77958,6.34036,-23.0202
-7.37892,6.94788e-310,928800,-7.37892,-7.08698,3.12917,6.77844,6.33922,-23.0345
-7.37891,6.94788e-310,932400,-7.37891,-7.08311,3.13107,6.77731,6.33809,-23.0487
-7.3789,6.94788e-310,936000,-7.3789,-7.07926,3.13297,6.77618,6.33696,-23.063
-7.37889,6.94788e-310,939600,-7.37889,-7.07542,3.13486,6.77505,6.33583,-23.0771
-7.37888,6.94788e-310,943200,-7.37888,-7.07159,3.13674,6.77393,6.33471,-23.0912
-7.37887,6.94788e-310,946800,-7.37887,-7.06778,3.13862,6.77282,6.3336,-23.1052
-7.37885,6.94788e-310,950400,-7.37885,-7.06399,3.14049,6.77171,6.33249,-23.1192
-7.37884,6.94788e-310,954000,-7.37884,-7.06021,3.14235,6.7706,6.33138,-23.1332
-7.37883,6.94788e-310,957600,-7.37883,-7.05644,3.1442,6.7695,6.33028,-23.147
-7.37882,6.94788e-310,961200,-7.37882,-7.05269,3.14605,6.7684,6.32919,-23.1609
-7.37881,6.94788e-310,964800,-7.37881,-7.04895,3.14789,6.76731,6.32809,-23.1746
-7.37879,6.94788e-310,968400,-7.37879,-7.04523,3.14972,6.76622,6.32701,-23.1884
-7.37878,6.94788e-310,972000,-7.37878,-7.04152,3.15155,6.76513,6.32592,-23.202
-7.37877,6.94788e-310,975600,-7.37877,-7.03782,3.15337,6.76405,6.32484,-23.2156
-7.37875,6.94788e-310,979200,-7.37875,-7.03414,3.15518,6.76298,6.32377,-23.2292
-7.37874,6.94788e-310,982800,-7.37874,-7.03047,3.15699,6.7619,6.32269,-23.2427
