n,GHE Load,ghe_Tin/HP_Tout,ghe_Tout/HP_Tin,bldgload
298,-7.3873,6.02608,6.90552,1000
299,-7.38728,6.02528,6.90472,1000
300,-7.38726,6.02448,6.90392,1000
301,-7.38725,6.02369,6.90312,1000
302,-7.38723,6.0229,6.90233,1000
303,-7.38722,6.02211,6.90154,1000
304,-7.3872,6.02132,6.90075,1000
305,-7.38719,6.02053,6.89996,1000
306,-7.38718,6.01975,6.89917,1000
307,-7.38716,6.01897,6.89839,1000
308,-7.38715,6.01819,6.89761,1000
309,-7.38714,6.01741,6.89683,1000
310,-7.38712,6.01664,6.89606,1000
311,-7.38711,6.01587,6.89529,1000
312,-7.3871,6.0151,6.89452,1000
313,-7.38708,6.01433,6.89375,1000
314,-7.38707,6.01357,6.89298,1000
315,-7.38706,6.01281,6.89222,1000
316,-7.38704,6.01205,6.89146,1000
317,-7.38703,6.01129,6.8907,1000
318,-7.38702,6.01054,6.88994,1000
319,-7.387,6.00979,6.88919,1000
320,-7.38699,6.00904,6.88844,1000
321,-7.38697,6.00829,6.88769,1000
322,-7.38696,6.00754,6.88694,1000
323,-7.38695,6.0068,6.8862,1000
324,-7.38693,6.00606,6.88546,1000
325,-7.38692,6.00532,6.88472,1000
326,-7.38691,6.00459,6.88398,1000
327,-7.38689,6.00385,6.88324,1000
328,-7.38688,6.00312,6.88251,1000
329,-7.38687,6.00239,6.88178,1000
330,-7.38685,6.00166,6.88105,1000
331,-7.38684,6.00094,6.88032,1000
332,-7.38682,6.00022,6.8796,1000
333,-7.38681,5.99949,6.87888,1000
334,-7.3868,5.99878,6.87816,1000
335,-7.38678,5.99806,6.87744,1000
336,-7.38677,5.99734,6.87672,1000
337,-7.38675,5.99663,6.87601,1000
338,-7.38674,5.99592,6.8753,1000
339,-7.38673,5.99521,6.87459,1000
340,-7.38671,5.99451,6.87388,1000
341,-7.3867,5.9938,6.87317,1000
342,-7.38669,5.9931,6.87247,1000
343,-7.38667,5.9924,6.87177,1000
344,-7.38666,5.9917,6.87107,1000
345,-7.38664,5.99101,6.87037,1000
346,-7.38663,5.99031,6.86967,1000
347,-7.38662,5.98962,6.86898,1000
348,-7.3866,5.98893,6.86829,1000
349,-7.38659,5.98824,6.8676,1000
350,-7.38657,5.98756,6.86691,1000
351,-7.38656,5.98687,6.86623,1000
352,-7.38655,5.98619,6.86554,1000
353,-7.38653,5.98551,6.86486,1000
354,-7.38652,5.98483,6.86418,1000
355,-7.3865,5.98415,6.8635,1000
356,-7.38649,5.98348,6.86282,1000
357,-7.38647,5.98281,6.86215,1000
358,-7.38645,5.98214,6.86147,1000
359,-7.38643,5.98146,6.8608,1000
360,-7.38641,5.9808,6.86013,1000
361,-7.3864,5.98013,6.85946,1000
362,-7.38638,5.97946,6.85879,1000
363,-7.38637,5.9788,6.85813,1000
364,-7.38636,5.97813,6.85746,1000
365,-7.38635,5.97747,6.8568,1000
366,-7.38634,5.97682,6.85614,1000
367,-7.38632,5.97616,6.85548,1000
368,-7.38631,5.9755,6.85483,1000
369,-7.38629,5.97485,6.85417,1000
370,-7.38628,5.9742,6.85352,1000
371,-7.38627,5.97355,6.85287,1000
372,-7.38625,5.9729,6.85222,1000
