n,g_data[n],q_lntts[n],q_time[n]
760,3.35686,-6.00662,2736000
761,3.35761,-6.0053,2739600
762,3.35837,-6.00399,2743200
763,3.35912,-6.00268,2746800
764,3.35987,-6.00137,2750400
765,3.36063,-6.00006,2754000
766,3.36138,-5.99876,2757600
767,3.36212,-5.99745,2761200
768,3.36287,-5.99615,2764800
769,3.36362,-5.99485,2768400
770,3.36437,-5.99355,2772000
771,3.36511,-5.99225,2775600
772,3.36586,-5.99095,2779200
773,3.3666,-5.98966,2782800
774,3.36734,-5.98837,2786400
775,3.36808,-5.98707,2790000
776,3.36882,-5.98578,2793600
777,3.36956,-5.9845,2797200
778,3.3703,-5.98321,2800800
779,3.37104,-5.98193,2804400
780,3.37178,-5.98064,2808000
781,3.37251,-5.97936,2811600
782,3.37325,-5.97808,2815200
783,3.37398,-5.9768,2818800
784,3.37471,-5.97553,2822400
785,3.37545,-5.97425,2826000
786,3.37618,-5.97298,2829600
787,3.37691,-5.97171,2833200
788,3.37764,-5.97044,2836800
789,3.37836,-5.96917,2840400
790,3.37909,-5.9679,2844000
791,3.37982,-5.96664,2847600
792,3.38054,-5.96538,2851200
793,3.38127,-5.96411,2854800
794,3.38199,-5.96285,2858400
795,3.38271,-5.9616,2862000
796,3.38344,-5.96034,2865600
797,3.38416,-5.95908,2869200
798,3.38488,-5.95783,2872800
799,3.3856,-5.95658,2876400
800,3.38631,-5.95533,2880000
801,3.38703,-5.95408,2883600
802,3.38775,-5.95283,2887200
803,3.38846,-5.95158,2890800
804,3.38918,-5.95034,2894400
805,3.38989,-5.94909,2898000
806,3.39061,-5.94785,2901600
807,3.39132,-5.94661,2905200
808,3.39203,-5.94538,2908800
809,3.39274,-5.94414,2912400
810,3.39345,-5.9429,2916000
811,3.39416,-5.94167,2919600
812,3.39486,-5.94044,2923200
813,3.39557,-5.93921,2926800
814,3.39628,-5.93798,2930400
815,3.39698,-5.93675,2934000
816,3.39769,-5.93552,2937600
817,3.39839,-5.9343,2941200
818,3.39909,-5.93307,2944800
819,3.39979,-5.93185,2948400
820,3.40049,-5.93063,2952000
821,3.40119,-5.92941,2955600
822,3.40189,-5.9282,2959200
823,3.40259,-5.92698,2962800
824,3.40329,-5.92577,2966400
825,3.40399,-5.92455,2970000
826,3.40468,-5.92334,2973600
827,3.40538,-5.92213,2977200
828,3.40607,-5.92092,2980800
829,3.40676,-5.91972,2984400
830,3.40745,-5.91851,2988000
831,3.40815,-5.91731,2991600
832,3.40884,-5.9161,2995200
833,3.40953,-5.9149,2998800
834,3.41022,-5.9137,3002400
835,3.4109,-5.91251,3006000
